scope,url,name,google place query (name from wiki),google place id
Alberta,http://albertacancer.ca/,Alberta Cancer Foundation donations office for Tom Baker Cancer Centre,Alberta Tom Baker Cancer Centre,ChIJv5rpALJvcVMRBSCJMR0VLww
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=6337,Alberta Hospital Edmonton,Alberta Alberta Hospital Edmonton,ChIJYfGXII47oFMRAv9S7Tw8mlI
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000284,Athabasca Healthcare Centre,Alberta Athabasca Healthcare Center,ChIJn-3BzHDXo1MRoR4MefYe9_Q
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000371,Barrhead Healthcare Centre,Alberta Barrhead Healthcare Centre,ChIJT2gkpxhcn1MRl3IA3KLH-O0
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000731,Bassano Health Centre,Alberta Bassano Health Centre,ChIJw-VdZMBhclMR2zPh0q9i0xs
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000182,Beaverlodge Municipal Hospital,Alberta Beaverlodge Regional Hospital,ChIJYYWSLVm8llMR9s3QOpRyjmE
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000734,Big Country Hospital,Alberta Big Country Health Centre,ChIJg9kz1e-kDVMRf1STWas7gQQ
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000373,Bonnyville Healthcare Centre,Alberta Bonnyville Health Centre,ChIJZyT0fYQHp1MRZGy-RfXHxKs
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000733,Bow Island Health Centre,Alberta Bow Island Health Centre,ChIJLzy-jUTlbFMRkfm2sjFkcVs
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1024251,Boyle Healthcare Centre,Alberta Boyle Healthcare Centre,ChIJ0_eBTV9doVMRVzqrKbKGjqE
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000732,Brooks Health Centre,Alberta Brooks Health Centre,ChIJ9aQPm65jbVMRy96IbytdkEQ
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000951,Canmore General Hospital,Alberta Canmore General Hospital,ChIJPfKQ-5PFcFMRHuWNj2oMFsE
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=3308,Cardston Health Centre,Alberta Cardston Hospital,ChIJ75eghtUmb1MRhTH-WGPRiQM
Alberta,https://www.albertahealthservices.ca/findhealth/facility.aspx?id=1000242,Centennial Centre for Mental Health and Brain Injury,Alberta Centennial Centre for Mental Health and Brain Injury (Alberta Hospital Ponoka),ChIJNbLZdysUdVMR9xP4d94KNT8
